,Company_Name,Design_Role,Doctorate,Experience,Functional_Area,Industry,Job_Application,Job_Link,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,PG,Role_Category,Salary,SalaryI,Skill_Experience,UG,Actual_Job_Link
2227,Epsilon,Business Analyst,,4 - 6 yrs,"IT Software - Application Programming   ,     Maintenance",Advertising  /    PR  /    MR  /    Event Management,199,https://www.naukri.com/job-listings-Business-Systems-Analyst-Senior-Epsilon-Bengaluru-4-to-6-years-080917502963,Posted 41 days ago,"Business Systems Analyst, Senior",465,Error,Bengaluru,,MBA/PGDM,System Design/Implementation/ERP/CRM,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Conditions of Employment All job offers are contingent upon successful completion of certain background checks which unless prohibited by applicable law may include criminal history checks,  employment verification,  education verification,  drug screens,  credit checks,  DMV checks (for driving positions only) and fingerprinting.
About Epsilon 
Epsilon is the global leader in creating connections between people and brands. An all- encompassing global marketing company,  supporting 15 of the top 20 global brands,  we harness the power of rich data,  groundbreaking technologies,  engaging creative and transformative ideas to get the results our clients require. Recognized by Ad Age as the #1 World CRM/ Direct Marketing Network,  Epsilon was also named as a Leader in the January 2016 report The Forrester Wave : Customer Loyalty Solutions For Large Organizations,  Q1 2016 and in the July 2014 report ""The Forrester Wave : Email Marketing Vendors,  Q3 2014"" by Forrester Research Inc. 
Epsilon employs over 7, 000 associates in more than 70 offices worldwide and is part of Alliance Data a Fortune 500 company. For more information,  visit http:/ / www.epsilon.com/  or follow us on Twitter @Epsilon_India. To view current job opportunities click here.",B.Tech/B.E.,https://www.naukri.com/job-listings-Business-Systems-Analyst-Senior-Epsilon-Bengaluru-4-to-6-years-080917502963
2228,Enfin Technologies India Pvt Ltd,Business Analyst,,1 - 6 yrs,"IT Software - Application Programming   ,     Maintenance",Banking  /    Financial Services  /    Broking,30,https://www.naukri.com/job-listings-Jr-Business-Analyst-Enfin-Technologies-India-Pvt-Ltd-Trivandrum-1-to-6-years-310817502921,Posted 49 days ago,Jr. Business Analyst,157,Error,Trivandrum,,MBA/PGDM,System Design/Implementation/ERP/CRM,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,B.A,https://www.naukri.com/job-listings-Jr-Business-Analyst-Enfin-Technologies-India-Pvt-Ltd-Trivandrum-1-to-6-years-310817502921
2229,ARS Traffic and Transport Technology (India) Pvt. Ltd,Business Analyst,,2 - 7 yrs,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,516,https://www.naukri.com/job-listings-Business-Analyst-ARS-Traffic-and-Transport-Technology-India-Pvt-Ltd-Pune-2-to-7-years-300517500884,Posted 59 days ago,Business Analyst,786,Error,Pune,,Post Graduation Not Required,System Design/Implementation/ERP/CRM,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,Any Graduate,https://www.naukri.com/job-listings-Business-Analyst-ARS-Traffic-and-Transport-Technology-India-Pvt-Ltd-Pune-2-to-7-years-300517500884
2230,Hirebridge,Business Analyst,,6 - 8 yrs,"IT Software - Application Programming   ,     Maintenance",Recruitment  /    Staffing,Less than 10,https://www.naukri.com/job-listings-Business-Analyst-Hirebridge-Bengaluru-6-to-8-years-290317500088,Posted 59 days ago,Business Analyst,262,Error,Bengaluru,,"M.Tech, MCA",System Design/Implementation/ERP/CRM,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,"B.Tech/B.E., BCA, B.Sc",https://www.naukri.com/job-listings-Business-Analyst-Hirebridge-Bengaluru-6-to-8-years-290317500088
2231,Bee Management Consultancy Pvt. Ltd.,Marketing Research Executive/Manager,,5 - 7 yrs,"Marketing   ,     Advertising   ,     MR   ,     PR   ,     Media Planning",Other,28,https://www.naukri.com/job-listings-Business-Research-Analyst-Bee-Management-Consultancy-Pvt-Ltd-Hyderabad-5-to-7-years-310717500726,Posted 59 days ago,Business Research Analyst,231,Error,Hyderabad,,MBA/PGDM,Marketing Research,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,Any Graduate,https://www.naukri.com/job-listings-Business-Research-Analyst-Bee-Management-Consultancy-Pvt-Ltd-Hyderabad-5-to-7-years-310717500726
2232,ECPS PVT. LT,Business Analyst,,8 - 13 yrs,"IT Software - Application Programming   ,     Maintenance",BPO  /    Call Centre  /    ITES,21,https://www.naukri.com/job-listings-SENIOR-BUSINESS-ANALYST-ECPS-PVT-LT-Chennai-8-to-13-years-260917500259,Posted 23 days ago,SENIOR BUSINESS ANALYST,123,Error,Chennai,,Post Graduation Not Required,System Design/Implementation/ERP/CRM,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,Any Graduate,https://www.naukri.com/job-listings-SENIOR-BUSINESS-ANALYST-ECPS-PVT-LT-Chennai-8-to-13-years-260917500259
2233,SafeGuard World International,Business Analyst,,3 - 6 yrs,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Business-Systems-Analyst-SafeGuard-World-International-Gurgaon-3-to-6-years-250417506602,Posted 59 days ago,Business Systems Analyst,837,Error,Gurgaon,,MBA/PGDM,System Design/Implementation/ERP/CRM,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,B.B.A / B.M.S,https://www.naukri.com/job-listings-Business-Systems-Analyst-SafeGuard-World-International-Gurgaon-3-to-6-years-250417506602
2234,Cornerstone OnDemand,Team Lead/Technical Lead,,4 - 8 yrs,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Business-System-Analyst-Cornerstone-OnDemand-Mumbai-4-to-8-years-050417501286,Posted 59 days ago,Business System Analyst,353,Error,Mumbai,,M.Tech,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,B.Tech/B.E.,https://www.naukri.com/job-listings-Business-System-Analyst-Cornerstone-OnDemand-Mumbai-4-to-8-years-050417501286
2235,Aims Migital Technovations Pvt Ltd,Marketing Research Executive/Manager,,2 - 3 yrs,"Marketing   ,     Advertising   ,     MR   ,     PR   ,     Media Planning",IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Analyst-Business-Market-Aims-Migital-Technovations-Pvt-Ltd-Gurgaon-2-to-3-years-200217501452,Posted 59 days ago,Analyst-Business & Market,202,Error,Gurgaon,,MBA/PGDM,Marketing Research,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,Any Graduate,https://www.naukri.com/job-listings-Analyst-Business-Market-Aims-Migital-Technovations-Pvt-Ltd-Gurgaon-2-to-3-years-200217501452
2236,Kriscent Techno Hub Pvt. Ltd.,Business Analyst,,1 - 5 yrs,"IT Software - Application Programming   ,     Maintenance",Banking  /    Financial Services  /    Broking,Less than 10,https://www.naukri.com/job-listings-Career-Business-Analyst-Kriscent-Techno-Hub-Pvt-Ltd-other-location-1-to-5-years-170817500148,Posted 59 days ago,Career-Business Analyst,141,Error,other location,,"M.Tech, MCA",System Design/Implementation/ERP/CRM,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,"B.Tech/B.E., BCA, B.Sc",https://www.naukri.com/job-listings-Career-Business-Analyst-Kriscent-Techno-Hub-Pvt-Ltd-other-location-1-to-5-years-170817500148
